Time,Count1,Count2,Count3,Count4,Count5,Count6,0~5,5~10,10~15,15~20,20~25,25~30,30~35,35~40,40~45,45~50,50~55,55~60,60~65,65~70,70~75,75~80,80~85,85~90,90~95,95~100,100~105,105~110,110~115,115~120,120~125,125~130,130~135,135~140,140~145,145~150,150~155,155~160,160~165,165~170,170~175,175~180,180~185,185~190,190~195,195~200,Total,Sigma,Dm,Rel.Humidity,Pressure,Ambient,0.2um,0.3um,0.5um,0.7um,1.0um,2.0um,2.5um,3.0um,5.0um,7.0um,10um,>10um,PM1,PM2.5,PM10,Surface Area
17:09:48,1334,1240,559.4,476.5,470.8,351.8,4.007,23.557,51.056,76.992,96.595,108.457,113.066,111.773,106.174,97.771,87.822,77.296,66.888,57.055,48.072,40.073,33.094,27.107,22.04,17.803,14.296,11.419,9.076,7.182,5.661,4.445,3.478,2.713,2.11,1.636,1.265,0.976,0.752,0.578,0.443,0.339,0.259,0.197,0.15,0.114,1334,1.3585209E-8,4.898125E-8,50.97,984.12,24.84,4.02857,0.868571,0.411429,0.222857,0.188571,0.0514286,0.0628571,0.0114286,0.0228571,0.0114286,0.0114286,0.0342857,2.93665e-07,7.59434e-07,6.61729e-06,21.7768
17:13:08,672.4,539.4,474.1,463.5,410.2,339.4,0.003,0.144,1.056,3.656,8.468,15.295,23.349,31.574,38.969,44.784,48.606,50.336,50.128,48.292,45.219,41.31,36.932,32.395,27.938,23.731,19.884,16.455,13.466,10.907,8.752,6.962,5.494,4.303,3.348,2.588,1.988,1.519,1.155,0.873,0.658,0.493,0.368,0.274,0.203,0.15,672.4,1.4255702E-8,7.104913E-8,51.32,984.14,24.73,5.19429,1.18286,0.605714,0.4,0.274286,0.0571429,0.0514286,0,0.0228571,0.0114286,0,0.0228571,3.6948e-07,7.77186e-07,2.83568e-06,18.2857
17:16:28,770.2,729.2,685.1,657.1,449.8,373.2,0,0,0,0,0.004,0.021,0.078,0.227,0.553,1.164,2.181,3.713,5.836,8.57,11.871,15.633,19.692,23.853,27.904,31.638,34.877,37.482,39.358,40.464,40.802,40.415,39.376,37.783,35.745,33.372,30.775,28.055,25.3,22.585,19.969,17.498,15.202,13.102,11.206,9.515,770.2,1.9517467E-8,1.3387519E-7,51.52,984.04,24.74,6.94286,0.851429,0.405714,0.188571,0.177143,0.0857143,0.08,0.0457143,0.0285714,0.0171429,0,0.0342857,1.10583e-06,1.73443e-06,5.12847e-06,48.674
17:19:48,1036,672.1,616.7,562.7,474.5,464.1,11.698,39.947,63.974,79.708,87.63,89.374,86.703,81.157,73.955,66,57.925,50.148,42.923,36.386,30.591,25.535,21.181,17.473,14.343,11.722,9.542,7.74,6.258,5.044,4.055,3.251,2.601,2.076,1.654,1.316,1.044,0.828,0.655,0.518,0.408,0.322,0.253,0.199,0.157,0.123,1036,1.4087234E-8,4.4635752E-8,51.94,984.18,24.72,4.38857,0.937143,0.588571,0.211429,0.102857,0.0742857,0.0342857,0.0114286,0.0228571,0.0114286,0,0.0114286,2.13827e-07,5.49585e-07,2.73252e-06,14.4198
17:23:08,788.7,720,460.2,437.7,430.8,362.8,0,0.013,0.108,0.441,1.204,2.561,4.601,7.317,10.616,14.336,18.276,22.226,25.986,29.384,32.289,34.611,36.301,37.349,37.777,37.63,36.972,35.875,34.419,32.681,30.739,28.661,26.509,24.336,22.186,20.097,18.095,16.201,14.428,12.786,11.278,9.904,8.662,7.545,6.548,5.663,788.7,2.2338014E-8,1.11742758E-7,51.61,984.18,25.42,6.16571,1.08571,0.365714,0.182857,0.137143,0.0685714,0.0342857,0.0285714,0.0285714,0,0.00571429,0.0342857,7.92424e-07,1.11808e-06,4.2241e-06,37.0418
17:26:28,628.1,568,501.5,469.1,350.1,312.4,0.023,0.321,1.268,3.014,5.497,8.531,11.879,15.301,18.587,21.57,24.131,26.199,27.741,28.758,29.275,29.335,28.993,28.308,27.341,26.153,24.798,23.329,21.79,20.22,18.65,17.107,15.612,14.18,12.823,11.549,10.362,9.263,8.253,7.331,6.492,5.733,5.05,4.436,3.889,3.401,628.1,2.3715536E-8,9.8696554E-8,48.14,984.11,25.15,4.76571,0.954286,0.405714,0.165714,0.108571,0.102857,0.0228571,0.0171429,0.0228571,0,0,0.00571429,5.16091e-07,8.34177e-07,1.7868e-06,24.2054
17:29:49,688.8,557.2,543.2,477,414.2,358.8,0,0.028,0.314,1.466,4.234,9.065,15.834,23.881,32.236,39.903,46.073,50.249,52.254,52.191,50.353,47.143,42.992,38.306,33.434,28.647,24.14,20.038,16.407,13.267,10.605,8.389,6.571,5.101,3.927,3,2.275,1.713,1.282,0.954,0.705,0.519,0.38,0.277,0.201,0.145,688.8,1.3883103E-8,7.5266506E-8,46.69,984.22,24.75,4.98286,1,0.377143,0.16,0.142857,0.0628571,0.0342857,0.0171429,0.0285714,0.00571429,0,0.0171429,3.21434e-07,6.36996e-07,2.42738e-06,18.9936
17:33:09,776.8,749.4,630.1,601.1,507.1,450.2,0,0,0,0,0,0,0,0,0.002,0.009,0.033,0.098,0.255,0.583,1.199,2.245,3.874,6.218,9.355,13.286,17.909,23.03,28.37,33.605,38.398,42.446,45.506,47.425,48.139,47.682,46.159,43.738,40.62,37.018,33.142,29.178,25.285,21.586,18.168,15.087,776.8,1.6405282E-8,1.50388772E-7,48.09,984.24,24.64,5.57714,1.21714,0.491429,0.171429,0.142857,0.0628571,0.0228571,0.0171429,0.00571429,0.00571429,0,0.0342857,1.41517e-06,1.66257e-06,2.687e-06,53.7992
17:36:29,668.8,644.5,557.4,459.1,434.8,386.2,0,0,0,0,0,0,0.001,0.006,0.025,0.078,0.207,0.479,0.986,1.837,3.146,5.005,7.464,10.514,14.077,18.008,22.111,26.16,29.922,33.185,35.777,37.579,38.534,38.642,37.956,36.57,34.607,32.201,29.494,26.616,23.685,20.802,18.043,15.468,13.112,10.999,668.8,1.7668542E-8,1.4451443E-7,49.03,984.24,24.67,3.49714,0.817143,0.331429,0.171429,0.165714,0.0685714,0.0342857,0.0285714,0.0228571,0.00571429,0,0.00571429,1.1276e-06,1.45326e-06,3.1766e-06,45.1224
17:39:49,533.8,491.7,474.1,459.1,363.2,333.1,0,0.017,0.124,0.453,1.135,2.262,3.857,5.878,8.232,10.793,13.419,15.976,18.343,20.424,22.149,23.478,24.394,24.901,25.023,24.795,24.26,23.466,22.462,21.298,20.019,18.666,17.276,15.881,14.505,13.17,11.892,10.682,9.549,8.497,7.529,6.644,5.841,5.116,4.466,3.885,533.8,2.2958405E-8,1.10895386E-7,49.8,984.24,24.67,4.36,0.782857,0.325714,0.182857,0.148571,0.0457143,0.0457143,0.00571429,0.0171429,0.00571429,0,0.0228571,5.54074e-07,9.07503e-07,2.19046e-06,24.5858
